"Species";"TBP";"Mean";"CI95"
"Tofieldia.coccinea";"X13.TY.26";0;0
"Tofieldia.coccinea";"X13.TY.29";0;0
"Tofieldia.coccinea";"X13.TY.30";0;0
"Tofieldia.coccinea";"X13.TY.31";0;0
"Tofieldia.coccinea";"X13.TY.32";0;0
"Tofieldia.coccinea";"X13.TY.25";0;0
"Tofieldia.coccinea";"X13.TY.17";0;0
"Tofieldia.coccinea";"X13.TY.20";0;0
"Tofieldia.coccinea";"X13.TY.21";0;0
"Tofieldia.coccinea";"X13.TY.23";0;0
"Tofieldia.coccinea";"X13.TY.19";0;0
"Tofieldia.coccinea";"X13.TY.22";0;0
"Tofieldia.coccinea";"X13.TY.24";0;0
"Tofieldia.coccinea";"X13.TY.18";0;0
"Thymus";"X13.TY.1";0;0
"Thymus";"X13.TY.2";0;0
"Thymus";"X13.TY.5";0;0
"Thymus";"X13.TY.03";0;0
"Thymus";"X13.TY.4";0;0
"Thymus";"X13.TY.6";0;0
"Thymus";"X13.TY.8";0;0
"Thymus";"X13.TY.12";0;0
"Thymus";"X13.TY.11";0;0
"Thymus";"X13.TY.10";0;0
"Thymus";"X13.TY.09";0;0
"Thymus";"X13.TY.15";0;0
"Thymus";"X13.TY.13";0;0
"Thymus";"X13.TY.14";0;0
"Thymus";"X13.TY.16";0;0
"Thymus";"X13.TY.28";0;0
"Thymus";"X13.TY.27";0;0
"Thymus";"X13.TY.26";0;0
"Thymus";"X13.TY.29";0;0
"Thymus";"X13.TY.30";0;0
"Thymus";"X13.TY.31";0;0
"Thymus";"X13.TY.32";0;0
"Thymus";"X13.TY.25";0;0
"Thymus";"X13.TY.17";0;0
"Thymus";"X13.TY.20";0;0
"Thymus";"X13.TY.21";0;0
"Thymus";"X13.TY.23";0;0
"Thymus";"X13.TY.19";0;0
"Thymus";"X13.TY.22";0;0
"Thymus";"X13.TY.24";1,83;2,78658868964412
"Thymus";"X13.TY.18";0;0
"Thalictrum";"X13.TY.1";1,25;2,26963353069088
"Thalictrum";"X13.TY.2";0;0
"Thalictrum";"X13.TY.5";0;0
"Thalictrum";"X13.TY.03";0;0
"Thalictrum";"X13.TY.4";0;0
"Thalictrum";"X13.TY.6";0;0
"Thalictrum";"X13.TY.8";0;0
"Thalictrum";"X13.TY.12";0;0
"Thalictrum";"X13.TY.11";0;0
"Thalictrum";"X13.TY.10";0;0
"Thalictrum";"X13.TY.09";0,25;1,05622732478201
"Thalictrum";"X13.TY.15";0;0
"Thalictrum";"X13.TY.13";0;0
"Thalictrum";"X13.TY.14";0;0
"Thalictrum";"X13.TY.16";0;0
"Thalictrum";"X13.TY.28";0;0
"Thalictrum";"X13.TY.27";0;0
"Thalictrum";"X13.TY.26";0,87;1,84064683404415
"Thalictrum";"X13.TY.29";2,26;3,31524605482616
"Thalictrum";"X13.TY.30";0,36;1,26195000621333
"Thalictrum";"X13.TY.31";0;0
"Thalictrum";"X13.TY.32";0;0
"Thalictrum";"X13.TY.25";0;0
"Thalictrum";"X13.TY.17";0;0
"Thalictrum";"X13.TY.20";0;0
"Thalictrum";"X13.TY.21";0;0
"Thalictrum";"X13.TY.23";0;0
"Thalictrum";"X13.TY.19";0;0
"Thalictrum";"X13.TY.22";0;0
"Thalictrum";"X13.TY.24";0;0
"Thalictrum";"X13.TY.18";0;0
"Tephroseris";"X13.TY.1";0,02;0,275782376507128
"Tephroseris";"X13.TY.2";0,26;1,02811578171238
"Tephroseris";"X13.TY.5";0;0
"Tephroseris";"X13.TY.03";7,25;5,19968413959109
"Tephroseris";"X13.TY.4";0;0
"Tephroseris";"X13.TY.6";0;0
"Tephroseris";"X13.TY.8";0;0
"Tephroseris";"X13.TY.12";0;0
"Tephroseris";"X13.TY.11";1,01;1,77277726528835
"Tephroseris";"X13.TY.10";0;0
"Tephroseris";"X13.TY.09";2,08;2,78136180583352
"Tephroseris";"X13.TY.15";3,62;4,13936131315063
"Tephroseris";"X13.TY.13";11,23;7,4379639985983
"Tephroseris";"X13.TY.14";0;0
"Tephroseris";"X13.TY.16";88,54;16,3782209860127
"Tephroseris";"X13.TY.28";0,2;0,835746808113993
"Tephroseris";"X13.TY.27";4,7;4,36494946573083
"Tephroseris";"X13.TY.26";0;0
"Tephroseris";"X13.TY.29";0;0
"Tephroseris";"X13.TY.30";0,3;1,13160652761167
"Tephroseris";"X13.TY.31";0,18;0,806446351080912
"Tephroseris";"X13.TY.32";2,16;2,7255541629088
"Tephroseris";"X13.TY.25";2,46;2,72127967520927
"Tephroseris";"X13.TY.17";0;0
"Tephroseris";"X13.TY.20";0,27;0,959189135666057
